Symbol,Name,Sector
AAN,Aaron's Inc.,Consumer Discretionary
ACHC,Acadia Healthcare,Health Care
ACIW,ACI Worldwide,Information Technology
AYI,Acuity Brands,Industrials
ADNT,Adient plc,Consumer Discretionary
ATGE,Adtalem Global Education,Consumer Discretionary
ACM,AECOM,Industrials
AGCO,AGCO,Industrials
ALEX,Alexander & Baldwin,Real Estate
Y,Alleghany Corporation,Financials
ATI,Allegheny Technologies,Materials
ALE,ALLETE Inc.,Utilities
MDRX,Allscripts Healthcare Solutions Inc,Health Care
AMCX,AMC Networks,Communication Services
AMED,Amedisys,Health Care
ACC,American Campus Communities,Real Estate
AEO,American Eagle Outfitters,Consumer Discretionary
AFG,American Financial Group,Financials
AM,Antero Midstream,Energy
APY,Apergy Corp.,Energy
ATR,AptarGroup Inc,Materials
WTR,Aqua America,Utilities
ARW,Arrow Electronics,Information Technology
ASGN,ASGN,Industrials
ASH,Ashland Inc.,Materials
ASB,Associated Banc-Corp,Financials
ATO,Atmos Energy,Utilities
AN,AutoNation,Consumer Discretionary
AVNS,"Avanos Medical, Inc.",Health Care
CAR,Avis Budget Group,Industrials
AVT,Avnet,Information Technology
AAXN,Axon Enterprise,Industrials
BXS,BancorpSouth,Financials
BOH,Bank of Hawaii,Financials
OZK,Bank OZK,Financials
BBBY,Bed Bath & Beyond,Consumer Discretionary
BDC,Belden Inc,Information Technology
BIO,Bio-Rad Laboratories,Health Care
TECH,Bio-Techne,Health Care
BKH,Black Hills Corporation,Utilities
BLKB,Blackbaud,Information Technology
SAM,Boston Beer Company,Consumer Staples
BYD,Boyd Gaming,Consumer Discretionary
BHF,Brighthouse Financial,Financials
BCO,Brink's Company (The),Industrials
EAT,Brinker International Inc,Consumer Discretionary
BRX,Brixmor Property Group,Real Estate
BRO,Brown & Brown,Financials
BC,Brunswick Corporation,Consumer Discretionary
CABO,Cable One Inc,Communication Services
CBT,Cabot Corp,Materials
CACI,CACI International,Information Technology
CZR,Caesars Entertainment,Consumer Discretionary
CPT,Camden Property Trust,Real Estate
CMD,Cantel Medical Corporation,Health Care
CSL,Carlisle Companies Inc.,Industrials
CRS,Carpenter Technology,Materials
CRI,"Carter's, Inc.",Consumer Discretionary
CASY,Casey's General Stores,Consumer Staples
CTLT,Catalent Inc,Health Care
CATY,Cathay General Bancorp,Financials
CDK,CDK Global Inc,Information Technology
CRL,Charles River Laboratories,Health Care
CAKE,Cheesecake Factory Inc,Consumer Discretionary
CHE,Chemed Corp.,Health Care
CC,Chemours,Materials
CHK,Chesapeake Energy,Energy
CHDN,Churchill Downs Inc,Consumer Discretionary
CIEN,Ciena Corp,Information Technology
CNK,Cinemark Holdings Inc,Communication Services
CRUS,Cirrus Logic Inc,Information Technology
CLH,Clean Harbors Inc,Industrials
CNO,CNO Financial Group,Financials
CNX,CNX Resources Corp,Energy
CGNX,Cognex Corporation,Information Technology
COHR,"Coherent, Inc.",Information Technology
CFX,Colfax,Industrials
CBSH,Commerce Bancshares,Financials
CMC,Commercial Metals Company,Materials
CVLT,CommVault Systems,Information Technology
CMP,Compass Minerals International Inc.,Materials
CLB,Core Laboratories,Energy
CXW,CoreCivic,Real Estate
CLGX,CoreLogic,Information Technology
COR,CoreSite Realty,Real Estate
OFC,Corporate Office Properties Trust,Real Estate
CUZ,Cousins Properties Inc,Real Estate
CVET,Covetrus,Health Care
CBRL,Cracker Barrel,Consumer Discretionary
CR,Crane Co.,Industrials
CREE,Cree Inc,Information Technology
CFR,Cullen/Frost Bankers Inc,Financials
CW,Curtiss-Wright Corp,Industrials
CY,Cypress Semiconductor Corp,Information Technology
CONE,CyrusOne,Real Estate
DAN,Dana Incorporated,Consumer Discretionary
DECK,Deckers Outdoor Corporation,Consumer Discretionary
DLPH,Delphi Technologies PLC,Consumer Discretionary
DLX,Deluxe Corporation,Industrials
DKS,Dick's Sporting Goods Inc,Consumer Discretionary
DDS,Dillard's Inc,Consumer Discretionary
DPZ,Domino's Pizza Inc,Consumer Discretionary
UFS,Domtar Corp,Materials
DCI,Donaldson Co,Industrials
DEI,"Douglas Emmett, Inc.",Real Estate
DNKN,Dunkin' Brands Group Inc,Consumer Discretionary
DY,Dycom Industries Inc,Industrials
EXP,Eagle Materials Inc,Materials
EWBC,East West Bancorp Inc,Financials
EGP,EastGroup Properties Inc,Real Estate
EV,Eaton Vance Corp,Financials
EPC,Edgewell Personal Care Company,Consumer Staples
ERI,Eldorado Resorts,Consumer Discretionary
EME,Emcor,Industrials
EHC,Encompass Health Corp.,Health Care
ENR,Energizer Holdings Inc,Consumer Staples
ENS,EnerSys,Industrials
EPR,EPR Properties,Real Estate
EQT,EQT,Energy
ETRN,Equitrans Midstream Corp,Energy
ETSY,Etsy,Consumer Discretionary
EVR,Evercore,Financials
EXEL,Exelixis,Health Care
FDS,FactSet Research Systems Inc,Financials
FICO,Fair Isaac Corporation,Information Technology
FII,Federated Investors,Financials
FAF,First American Financial Corp,Financials
FFIN,First Financial Bankshares Inc,Financials
FHN,First Horizon National Corp,Financials
FR,First Industrial Realty Trust,Real Estate
FSLR,First Solar,Information Technology
FCFS,FirstCash,Financials
FIVE,Five Below,Consumer Discretionary
FLO,Flowers Foods Inc.,Consumer Staples
FLR,Fluor Corp.,Industrials
FNB,FNB Corporation,Financials
FL,Foot Locker,Consumer Discretionary
FULT,Fulton Financial Corporation,Financials
GME,GameStop Corp.,Consumer Discretionary
GATX,GATX Corp.,Industrials
GWR,Genesee & Wyoming,Industrials
GNTX,Gentex Corp.,Consumer Discretionary
GNW,Genworth Financial,Financials
GEO,GEO Group Inc.,Real Estate
GMED,Globus Medical Inc.,Health Care
GT,Goodyear Tire & Rubber,Consumer Discretionary
GGG,Graco Inc.,Industrials
GHC,Graham Holdings Company,Consumer Discretionary
GVA,Granite Construction Inc.,Industrials
GDOT,Green Dot Corp.,Financials
GEF,"Greif, Inc.",Materials
GRUB,Grubhub,Consumer Discretionary
HAE,Haemonetics,Health Care
HAIN,Hain Celestial Group,Consumer Staples
HWC,Hancock Whitney Corp,Financials
THG,Hanover Insurance Group Inc,Financials
HE,Hawaiian Electric Industries,Utilities
HR,Healthcare Realty Trust,Real Estate
HCSG,Healthcare Services Group,Industrials
HQY,HealthEquity,Health Care
HELE,Helen of Troy Limited,Consumer Discretionary
HIW,Highwoods Properties,Real Estate
HRC,Hill-Rom Holdings Inc.,Health Care
HNI,HNI Corporation,Industrials
HOMB,Home BancShares Inc,Financials
HPT,Hospitality Properties Trust,Real Estate
HUBB,Hubbell Incorporated,Industrials
ICUI,ICU Medical,Health Care
IDA,Idacorp Inc.,Utilities
IIVI,II-VI,Information Technology
NGVT,Ingevity Corp.,Materials
INGR,Ingredion Inc,Consumer Staples
NSP,Insperity Inc.,Industrials
IART,Integra Lifesciences Holdings,Health Care
IBKR,Interactive Brokers,Financials
